event,first_week_tickets_quantity,second_week_tickets_quantity,middle_weeks_tickets_quantity,two_weeks_before_tickets_quantity,last_week_tickets_quantity,total_tickets_quantity,venue_capacity,middle_weeks_quantity,shows_quantity,sold_out_flag
Evento 1,7523,4465,41786,8700,9854,75000,110000,21,2,0
Evento 2,1650,1200,2135,1100,2000,8800,10000,4,3,0
Evento 3,3000,1200,7270,300,400,12400,13500,8,1,1
Evento 4,1040,460,1230,880,305,4009,4100,4,2,1
Evento 5,12996,9855,33940,8010,15670,81140,100000,7,2,1
Evento 6,950,690,3770,700,1200,7351,9000,7,1,0
Evento 7,4101,2954,12788,2550,5400,33000,35000,10,10,1
Evento 8 ,50341,25128,145050,13000,27000,385800,401500,35,73,1
